School Year,State,Exit Code,Disability,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 14 to 21 total,Hispanic/Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or more races,Male,Female,Limited English proficiency,Non-limited English proficiency
2013-2014,INDIANA,Graduated with regular high school diploma,Traumatic brain injury,0,0,0,8,13,6,1,0,28,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,"Moved, known to be continuing",Traumatic brain injury,0,1,2,1,1,1,1,0,7,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,Reached maximum age,Traumatic brain injury,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,Received a certificate,Traumatic brain injury,0,0,0,2,3,2,2,1,10,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,Total exiting school,Traumatic brain injury,0,0,0,10,18,9,3,2,42,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,Total exiting special education,Traumatic brain injury,0,1,2,11,19,10,4,2,49,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,Transferred to regular education,Traumatic brain injury,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,Died,Visual impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,Dropped out,Visual impairment,0,0,0,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,Graduated with a regular high school diploma and received a certificate,Visual impairment,0,0,0,12,25,5,0,0,42,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,Graduated with regular high school diploma,Visual impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,"Moved, known to be continuing",Visual impairment,0,1,1,1,0,0,1,0,4,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,Reached maximum age,Visual impairment,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,Received a certificate,Visual impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,Total exiting school,Visual impairment,0,0,0,12,26,5,0,1,44,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,Total exiting special education,Visual impairment,0,1,1,13,26,5,1,1,48,-,-,-,-,-,-,-,-,-,-,-
2013-2014,INDIANA,Transferred to regular education,Visual impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Died,All Disabilities,1,3,1,8,1,2,1,0,17,5,0,0,1,0,10,1,12,5,0,17
2013-2014,IOWA,Dropped out,All Disabilities,13,67,175,245,148,48,8,1,705,77,9,3,121,1,478,16,482,223,1,704
2013-2014,IOWA,Graduated with a regular high school diploma and received a certificate,All Disabilities,0,0,44,1482,1180,305,187,33,3231,257,22,29,289,3,2528,103,2033,1198,80,3151
2013-2014,IOWA,Graduated with regular high school diploma,All Disabilities,0,0,44,1482,1180,305,187,33,3231,257,22,29,289,3,2528,103,2033,1198,80,3151
2013-2014,IOWA,"Moved, known to be continuing",All Disabilities,155,132,113,100,18,11,3,1,533,60,9,3,111,2,326,22,357,176,3,530
2013-2014,IOWA,Reached maximum age,All Disabilities,-,-,-,-,-,-,53,14,67,6,0,2,13,0,43,3,52,15,2,65
2013-2014,IOWA,Received a certificate,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting school,All Disabilities,14,70,220,1735,1329,355,249,48,4020,345,31,34,424,4,3059,123,2579,1441,83,3937
2013-2014,IOWA,Total exiting special education,All Disabilities,524,564,705,2120,1459,380,258,49,6059,532,53,51,642,7,4589,185,3902,2157,113,5946
2013-2014,IOWA,Transferred to regular education,All Disabilities,355,362,372,285,112,14,6,0,1506,127,13,14,107,1,1204,40,966,540,27,1479
2013-2014,IOWA,Died,Autism,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Dropped out,Autism,0,1,2,3,2,1,0,0,9,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with a regular high school diploma and received a certificate,Autism,0,0,0,17,13,3,2,0,35,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with regular high school diploma,Autism,0,0,0,17,13,3,2,0,35,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,"Moved, known to be continuing",Autism,2,1,1,1,0,0,0,0,5,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Reached maximum age,Autism,-,-,-,-,-,-,1,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Received a certificate,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting school,Autism,0,1,2,20,15,4,3,0,45,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting special education,Autism,6,6,7,24,16,4,3,0,66,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Transferred to regular education,Autism,4,4,4,3,1,0,0,0,16,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Died,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Dropped out,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with a regular high school diploma and received a certificate,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with regular high school diploma,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,"Moved, known to be continuing",Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Reached maximum age,Deaf-blindness,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Received a certificate,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting school,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting special education,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Transferred to regular education,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Died,Emotional disturbance,0,0,0,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Dropped out,Emotional disturbance,1,6,17,24,14,5,1,0,68,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with a regular high school diploma and received a certificate,Emotional disturbance,0,0,4,144,115,30,18,3,314,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with regular high school diploma,Emotional disturbance,0,0,4,144,115,30,18,3,314,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,"Moved, known to be continuing",Emotional disturbance,15,13,11,10,2,1,0,0,52,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Reached maximum age,Emotional disturbance,-,-,-,-,-,-,5,1,6,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Received a certificate,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting school,Emotional disturbance,1,6,21,169,129,35,24,4,389,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting special education,Emotional disturbance,51,54,68,207,142,37,25,4,588,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Transferred to regular education,Emotional disturbance,35,35,36,28,11,1,1,0,147,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Died,Hearing impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Dropped out,Hearing impairment,0,0,1,2,1,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with a regular high school diploma and received a certificate,Hearing impairment,0,0,0,11,8,2,1,0,22,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with regular high school diploma,Hearing impairment,0,0,0,11,8,2,1,0,22,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,"Moved, known to be continuing",Hearing impairment,1,1,1,1,0,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Reached maximum age,Hearing impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Received a certificate,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting school,Hearing impairment,0,0,1,13,9,2,1,0,26,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting special education,Hearing impairment,4,4,5,16,10,2,1,0,42,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Transferred to regular education,Hearing impairment,3,3,3,2,1,0,0,0,12,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Died,Intellectual disability,0,1,0,1,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Dropped out,Intellectual disability,2,11,30,42,26,8,1,0,120,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with a regular high school diploma and received a certificate,Intellectual disability,0,0,8,255,203,53,32,6,557,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with regular high school diploma,Intellectual disability,0,0,8,255,203,53,32,6,557,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,"Moved, known to be continuing",Intellectual disability,27,23,19,17,3,2,1,0,92,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Reached maximum age,Intellectual disability,-,-,-,-,-,-,9,2,11,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Received a certificate,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting school,Intellectual disability,2,12,38,298,229,61,42,8,690,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting special education,Intellectual disability,90,97,121,364,251,65,44,8,1040,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Transferred to regular education,Intellectual disability,61,62,64,49,19,2,1,0,258,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Died,Multiple disabilities,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Dropped out,Multiple disabilities,0,0,1,1,1,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with a regular high school diploma and received a certificate,Multiple disabilities,0,0,0,8,7,2,1,0,18,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with regular high school diploma,Multiple disabilities,0,0,0,8,7,2,1,0,18,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,"Moved, known to be continuing",Multiple disabilities,1,1,1,1,0,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Reached maximum age,Multiple disabilities,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Received a certificate,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting school,Multiple disabilities,0,0,1,9,8,2,1,0,21,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting special education,Multiple disabilities,3,3,4,12,9,2,1,0,34,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Transferred to regular education,Multiple disabilities,2,2,2,2,1,0,0,0,9,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Died,Orthopedic impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Dropped out,Orthopedic impairment,0,1,2,3,2,1,0,0,9,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with a regular high school diploma and received a certificate,Orthopedic impairment,0,0,0,17,13,3,2,0,35,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with regular high school diploma,Orthopedic impairment,0,0,0,17,13,3,2,0,35,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,"Moved, known to be continuing",Orthopedic impairment,2,1,1,1,0,0,0,0,5,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Reached maximum age,Orthopedic impairment,-,-,-,-,-,-,1,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Received a certificate,Orthopedic impairment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting school,Orthopedic impairment,0,1,2,20,15,4,3,0,45,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting special education,Orthopedic impairment,6,6,7,24,16,4,3,0,66,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Transferred to regular education,Orthopedic impairment,4,4,4,3,1,0,0,0,16,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Died,Other health impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Dropped out,Other health impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with a regular high school diploma and received a certificate,Other health impairment,0,0,0,2,2,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with regular high school diploma,Other health impairment,0,0,0,2,2,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,"Moved, known to be continuing",Other health impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Reached maximum age,Other health impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Received a certificate,Other health impairment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting school,Other health impairment,0,0,0,2,2,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting special education,Other health impairment,0,1,1,2,2,0,0,0,6,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Transferred to regular education,Other health impairment,0,1,1,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Died,Specific learning disability,1,2,1,5,1,2,1,0,13,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Dropped out,Specific learning disability,9,42,107,148,89,29,5,1,430,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with a regular high school diploma and received a certificate,Specific learning disability,0,0,28,894,712,185,114,21,1954,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with regular high school diploma,Specific learning disability,0,0,28,894,712,185,114,21,1954,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,"Moved, known to be continuing",Specific learning disability,94,81,69,60,11,7,2,1,325,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Reached maximum age,Specific learning disability,-,-,-,-,-,-,32,10,42,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Received a certificate,Specific learning disability,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting school,Specific learning disability,10,44,136,1047,802,216,152,32,2439,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting special education,Specific learning disability,318,343,429,1279,881,233,157,33,3673,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Transferred to regular education,Specific learning disability,214,218,224,172,68,10,3,0,909,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Died,Speech or language impairment,0,0,0,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Dropped out,Speech or language impairment,1,6,15,21,13,4,1,0,61,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with a regular high school diploma and received a certificate,Speech or language impairment,0,0,4,128,102,26,16,3,279,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with regular high school diploma,Speech or language impairment,0,0,4,128,102,26,16,3,279,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,"Moved, known to be continuing",Speech or language impairment,13,11,10,9,2,1,0,0,46,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Reached maximum age,Speech or language impairment,-,-,-,-,-,-,5,1,6,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Received a certificate,Speech or language impairment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting school,Speech or language impairment,1,6,19,150,115,30,22,4,347,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting special education,Speech or language impairment,45,48,61,184,127,32,23,4,524,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Transferred to regular education,Speech or language impairment,31,31,32,25,10,1,1,0,131,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Died,Traumatic brain injury,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Dropped out,Traumatic brain injury,0,0,0,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with a regular high school diploma and received a certificate,Traumatic brain injury,0,0,0,4,3,1,1,0,9,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with regular high school diploma,Traumatic brain injury,0,0,0,4,3,1,1,0,9,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,"Moved, known to be continuing",Traumatic brain injury,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Reached maximum age,Traumatic brain injury,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Received a certificate,Traumatic brain injury,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting school,Traumatic brain injury,0,0,0,5,3,1,1,0,10,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting special education,Traumatic brain injury,1,1,1,6,3,1,1,0,14,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Transferred to regular education,Traumatic brain injury,1,1,1,1,0,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Died,Visual impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Dropped out,Visual impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with a regular high school diploma and received a certificate,Visual impairment,0,0,0,2,2,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Graduated with regular high school diploma,Visual impairment,0,0,0,2,2,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,"Moved, known to be continuing",Visual impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Reached maximum age,Visual impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Received a certificate,Visual impairment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting school,Visual impairment,0,0,0,2,2,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Total exiting special education,Visual impairment,0,1,1,2,2,0,0,0,6,-,-,-,-,-,-,-,-,-,-,-
2013-2014,IOWA,Transferred to regular education,Visual impairment,0,1,1,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Died,All Disabilities,2,4,4,1,2,1,1,0,15,2,0,0,2,0,10,1,7,8,0,15
2013-2014,KANSAS,Dropped out,All Disabilities,28,59,95,182,151,33,15,5,568,104,11,2,102,0,314,35,387,181,28,540
2013-2014,KANSAS,Graduated with a regular high school diploma and received a certificate,All Disabilities,0,0,6,1350,1319,215,145,84,3119,410,59,27,367,2,2113,141,1990,1129,110,3009
2013-2014,KANSAS,Graduated with regular high school diploma,All Disabilities,0,0,6,1350,1319,215,145,84,3119,410,59,27,367,2,2113,141,1990,1129,110,3009
2013-2014,KANSAS,"Moved, known to be continuing",All Disabilities,586,618,498,355,104,16,6,0,2183,268,46,9,318,5,1430,107,1457,726,57,2126
2013-2014,KANSAS,Reached maximum age,All Disabilities,-,-,-,-,-,-,16,19,35,1,1,0,2,0,30,1,23,12,0,35
2013-2014,KANSAS,Received a certificate,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Total exiting school,All Disabilities,30,63,105,1533,1472,249,177,108,3737,517,71,29,473,2,2467,178,2407,1330,138,3599
2013-2014,KANSAS,Total exiting special education,All Disabilities,782,833,762,2063,1698,290,188,109,6725,897,136,49,845,10,4472,316,4382,2343,240,6485
2013-2014,KANSAS,Transferred to regular education,All Disabilities,166,152,159,175,122,25,5,1,805,112,19,11,54,3,575,31,518,287,45,760
2013-2014,KANSAS,Died,Autism,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Dropped out,Autism,1,1,0,1,1,1,1,0,6,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Graduated with a regular high school diploma and received a certificate,Autism,0,0,0,47,44,13,36,16,156,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Graduated with regular high school diploma,Autism,0,0,0,47,44,13,36,16,156,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,"Moved, known to be continuing",Autism,21,14,11,15,6,2,0,0,69,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Reached maximum age,Autism,-,-,-,-,-,-,3,5,8,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Received a certificate,Autism,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Total exiting school,Autism,1,1,0,48,45,14,40,21,170,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Total exiting special education,Autism,27,21,12,67,53,18,40,21,259,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Transferred to regular education,Autism,5,6,1,4,2,2,0,0,20,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Died,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Dropped out,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Graduated with a regular high school diploma and received a certificate,Deaf-blindness,0,0,0,0,0,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Graduated with regular high school diploma,Deaf-blindness,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,"Moved, known to be continuing",Deaf-blindness,1,0,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Reached maximum age,Deaf-blindness,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Received a certificate,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Total exiting school,Deaf-blindness,0,0,0,0,0,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Total exiting special education,Deaf-blindness,1,0,0,0,0,1,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Transferred to regular education,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Died,Emotional disturbance,0,1,1,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Dropped out,Emotional disturbance,9,15,13,22,17,3,4,0,83,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Graduated with a regular high school diploma and received a certificate,Emotional disturbance,0,0,2,94,66,10,5,1,178,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Graduated with regular high school diploma,Emotional disturbance,0,0,2,94,66,10,5,1,178,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,"Moved, known to be continuing",Emotional disturbance,65,90,70,49,17,2,0,0,293,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Reached maximum age,Emotional disturbance,-,-,-,-,-,-,1,0,1,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Received a certificate,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Total exiting school,Emotional disturbance,9,16,16,116,83,13,10,1,264,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Total exiting special education,Emotional disturbance,84,116,108,179,111,18,11,1,628,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Transferred to regular education,Emotional disturbance,10,10,22,14,11,3,1,0,71,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Died,Hearing impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Dropped out,Hearing impairment,0,0,1,0,2,1,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Graduated with a regular high school diploma and received a certificate,Hearing impairment,0,0,0,6,17,4,1,0,28,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Graduated with regular high school diploma,Hearing impairment,0,0,0,6,17,4,1,0,28,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,"Moved, known to be continuing",Hearing impairment,3,4,5,4,1,0,0,0,17,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Reached maximum age,Hearing impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Received a certificate,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Total exiting school,Hearing impairment,0,0,1,6,19,5,1,0,32,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Total exiting special education,Hearing impairment,5,5,8,10,22,5,2,0,57,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Transferred to regular education,Hearing impairment,2,1,2,0,2,0,1,0,8,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Died,Intellectual disability,0,1,0,1,0,0,1,0,3,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Dropped out,Intellectual disability,0,1,4,8,4,1,2,1,21,-,-,-,-,-,-,-,-,-,-,-
2013-2014,KANSAS,Graduated with a regular high school diploma and received a certificate,Intellectual disability,0,0,0,57,93,32,49,37,268,-,-,-,-,-,-,-,-,-,-,-
